number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_omega,params_rho,state
32,166.66666666666666,2026-06-22 15:25:25.491407,2026-06-22 15:25:26.753300,0 days 00:00:01.261893,2.485827176686598,1.281017975098705,876.0787687679629,0.07100665323798026,COMPLETE
33,166.66666666666666,2026-06-22 15:25:26.753342,2026-06-22 15:25:28.108263,0 days 00:00:01.354921,2.248660700709656,1.7678354598247106,1398.9701735564245,0.14062297966512768,COMPLETE
34,166.66666666666666,2026-06-22 15:25:28.108309,2026-06-22 15:25:29.402812,0 days 00:00:01.294503,2.81427458698748,1.2504263284850943,366.971164728987,0.08280974363686192,COMPLETE
35,176.47058823529412,2026-06-22 15:25:29.402858,2026-06-22 15:25:30.823421,0 days 00:00:01.420563,1.8112607466235977,1.4601786624364248,2498.095714306076,0.428891684915403,COMPLETE
36,166.66666666666666,2026-06-22 15:25:30.823461,2026-06-22 15:25:32.052924,0 days 00:00:01.229463,1.4133764865869132,2.001962077772461,526.763296648061,0.05215161661638765,COMPLETE
37,176.47058823529412,2026-06-22 15:25:32.052964,2026-06-22 15:25:33.433107,0 days 00:00:01.380143,1.0646743555299127,4.514337856968774,2096.0960006044206,0.26072115108097255,COMPLETE
38,176.47058823529412,2026-06-22 15:25:33.433147,2026-06-22 15:25:34.713629,0 days 00:00:01.280482,0.7720381966215699,2.932435863104816,1605.6622154252798,0.17224974887729808,COMPLETE
39,176.47058823529412,2026-06-22 15:25:34.713667,2026-06-22 15:25:36.056717,0 days 00:00:01.343050,2.7691687178252025,1.1705231201362085,91.74877726237628,0.09794493492336284,COMPLETE
40,176.47058823529412,2026-06-22 15:25:36.056768,2026-06-22 15:25:37.418983,0 days 00:00:01.362215,2.014580254501558,1.7463801500024938,3099.8778625611217,0.3149880065624685,COMPLETE
41,166.66666666666666,2026-06-22 15:25:37.419024,2026-06-22 15:25:38.604358,0 days 00:00:01.185334,0.5355255392403242,1.0662712605423776,3439.832160925315,0.134056269222619,COMPLETE
42,166.66666666666666,2026-06-22 15:25:38.604398,2026-06-22 15:25:39.820339,0 days 00:00:01.215941,0.6352353854425596,1.4419540451250068,3632.6009469131122,0.17000670645906554,COMPLETE
43,166.66666666666666,2026-06-22 15:25:39.820380,2026-06-22 15:25:41.026861,0 days 00:00:01.206481,0.9528447750879393,1.0250567321899258,4259.612261950861,0.15175335029508755,COMPLETE
44,166.66666666666666,2026-06-22 15:25:41.026903,2026-06-22 15:25:42.306720,0 days 00:00:01.279817,0.6930703603366646,1.6029871626795469,1144.265103493183,0.22275470034104028,COMPLETE
45,176.47058823529412,2026-06-22 15:25:42.306764,2026-06-22 15:25:43.589246,0 days 00:00:01.282482,1.1036822277111473,1.3357577898156023,2717.711642397225,0.2642788241361041,COMPLETE
46,176.47058823529412,2026-06-22 15:25:43.589286,2026-06-22 15:25:44.954414,0 days 00:00:01.365128,0.8943925532795318,1.864351998399194,3678.819321360214,0.42030013509813474,COMPLETE
47,176.47058823529412,2026-06-22 15:25:44.954453,2026-06-22 15:25:46.299810,0 days 00:00:01.345357,2.5034726892189876,2.1288104473795446,3364.585337032826,0.4746193955750931,COMPLETE
48,176.47058823529412,2026-06-22 15:25:46.299853,2026-06-22 15:25:47.732685,0 days 00:00:01.432832,2.9818594074653526,3.77991123540797,4573.288343320888,0.08289627052951515,COMPLETE
49,176.47058823529412,2026-06-22 15:25:47.732724,2026-06-22 15:25:49.059516,0 days 00:00:01.326792,1.7417407299884067,1.1428264008806575,673.1643478620525,0.3551534191278698,COMPLETE
